split_ratio,avg_train_R2_score,avg_test_R2_score,avg_train_MAE_score,avg_test_MAE_score,std_train_R2_score,std_test_R2_score,std_train_MAE_score,std_test_MAE_score
0.05,0.9116814409356562,0.5453136447704835,0.20238266306444397,0.5392808631816245,0.034829304318996064,0.09927513741128392,0.03545090922517751,0.0656038206827158
0.1,0.9509408030037265,0.706320116746685,0.1602388887052772,0.4211971346037139,0.01704116722691215,0.03825239191017761,0.018386308490020303,0.028609859968534018
0.2,0.9687108106034262,0.7751670001951362,0.13033274567457923,0.3587490301711172,0.009025419699211215,0.02696590631289312,0.013913979491216871,0.021057774608946082
0.25,0.9707961154199977,0.8085636123339124,0.12431521862250364,0.33039534646691054,0.007146033399980558,0.026249160029660847,0.009733536873087138,0.02565491495724592
0.3,0.9717902698260772,0.8268145196972276,0.12163014023960687,0.31397424334024726,0.007577835536331637,0.028424301068965784,0.013458595488976328,0.024810293306427037
0.4,0.9769502677021453,0.8442579274719788,0.11054873661818436,0.2883539003249483,0.004978336575159923,0.0203403841833424,0.008101794917637255,0.01816952750085639
0.5,0.9768200916701311,0.8561685262279883,0.10587086788821827,0.27972528741633396,0.004911230583308683,0.022139261600420006,0.00803148562577421,0.0163443507683526
0.6,0.9788518310724565,0.8645893665479095,0.10265038315241412,0.2632337097324682,0.0039050756688375956,0.02189471922198914,0.00596714411328708,0.014310976383770376
0.7,0.980714931365048,0.8759503092126424,0.0986579662698542,0.25041885509383427,0.0031948914513298936,0.02975459679671693,0.006091854443917716,0.02384732827116193
0.8,0.9807802953494751,0.8869744367197003,0.09692123048379915,0.24423253073401477,0.0025988514393211043,0.04844050464303645,0.004338240616113771,0.0291903831393124
