feature,importance
delta_bx_vdw_radius,0.16469497960382506
avg_val_electrons,0.0929975164783701
delta_bx_val_electrons,0.08292114135025222
delta_a1a2_no_electrons,0.0530526266589603
avg_vdw_radius,0.045774877642906324
avg_unp_electrons,0.04288049631019824
delta_bx_dipole_polarizability,0.03913068608555413
std_vdw_radius,0.03053456042912249
delta_bx_ion_energies,0.02929428030715525
std_no_electrons,0.028640432485873946
delta_bx_covalent_radius,0.027384529189299477
std_electron_affinity,0.02587538816344409
delta_a1a2_atomic_volume,0.024226921096098038
delta_bx_electron_affinity,0.021154490189852108
delta_a1a2_electronegativity,0.02104091639727855
avg_electron_affinity,0.01912660150878644
std_dipole_polarizability,0.0180258136861562
avg_dipole_polarizability,0.01685171503087283
std_electronegativity,0.015948228809036683
std_val_electrons,0.015526658762440738
avg_electronegativity,0.014321440854237016
std_covalent_radius,0.013496966218804734
avg_no_electrons,0.01313134161361919
avg_atomic_radius,0.012823688806944027
delta_a1a2_vdw_radius,0.012589861868693363
max_diff_atomic_volume,0.011547577620405754
delta_a1a2_electron_affinity,0.010863104468413114
max_diff_vdw_radius,0.009664726576564727
std_atomic_volume,0.009486530124358131
delta_bx_atomic_radius,0.008391551963644163
std_ion_energies,0.008241764027243787
delta_bx_atomic_volume,0.008153832388304201
max_diff_covalent_radius,0.007655455259108173
delta_a1a2_ion_energies,0.005494489316314021
avg_atomic_volume,0.00402928208892179
delta_bx_electronegativity,0.0037803785557720677
max_diff_val_electrons,0.0032697852069915197
delta_bx_no_electrons,0.0027942060022160117
max_diff_ion_energies,0.002733579127303766
max_diff_dipole_polarizability,0.0026308982221008395
max_diff_electronegativity,0.0026152610784251342
avg_covalent_radius,0.002589899922956257
std_unp_electrons,0.0025879951919805773
delta_a1a2_atomic_radius,0.002089769300615644
avg_ion_energies,0.0016775750378548308
max_diff_atomic_radius,0.0016644379874490378
delta_a1a2_dipole_polarizability,0.0014991120219169179
delta_a1a2_covalent_radius,0.0014980388654625121
delta_a1a2_unp_electrons,0.0014815509314694238
max_diff_no_electrons,0.0007983921583650741
std_atomic_radius,0.0007327199503301669
delta_a1a2_val_electrons,0.0003686791603754456
max_diff_electron_affinity,0.000167216514499305
max_diff_unp_electrons,4.6031382856060135e-05
delta_bx_unp_electrons,0.0
